,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2020_CIV,POPEST2020_CIV,POPEST2021_CIV
0,10,0,0,0,United States,0,0,3733173,3699196,3564493
1,10,0,0,0,United States,0,1,3775586,3762475,3702936
2,10,0,0,0,United States,0,2,3871739,3852130,3767428
3,10,0,0,0,United States,0,3,3964565,3931443,3856743
4,10,0,0,0,United States,0,4,4047488,4035968,3935738
5,10,0,0,0,United States,0,5,4076067,4072698,4040153
6,10,0,0,0,United States,0,6,4046735,4060909,4076629
7,10,0,0,0,United States,0,7,4052265,4048019,4064596
8,10,0,0,0,United States,0,8,4071358,4055165,4051555
9,10,0,0,0,United States,0,9,4112302,4100071,4058615
10,10,0,0,0,United States,0,10,4210205,4186077,4103489
11,10,0,0,0,United States,0,11,4319365,4275997,4189406
12,10,0,0,0,United States,0,12,4450498,4439287,4279315
13,10,0,0,0,United States,0,13,4428826,4429541,4442581
14,10,0,0,0,United States,0,14,4329590,4352094,4432993
15,10,0,0,0,United States,0,15,4293368,4306103,4355926
16,10,0,0,0,United States,0,16,4330357,4327742,4310462
17,10,0,0,0,United States,0,17,4271211,4285087,4331501
18,10,0,0,0,United States,0,18,4269229,4245672,4271397
19,10,0,0,0,United States,0,19,4302814,4287340,4217715
20,10,0,0,0,United States,0,20,4251330,4279347,4280820
21,10,0,0,0,United States,0,21,4212686,4205121,4275608
22,10,0,0,0,United States,0,22,4188063,4194600,4206277
23,10,0,0,0,United States,0,23,4211314,4207914,4202802
24,10,0,0,0,United States,0,24,4266504,4242709,4215829
25,10,0,0,0,United States,0,25,4337543,4324062,4249094
26,10,0,0,0,United States,0,26,4435774,4422405,4330309
27,10,0,0,0,United States,0,27,4529231,4501966,4428816
28,10,0,0,0,United States,0,28,4627218,4611970,4506956
29,10,0,0,0,United States,0,29,4704600,4687062,4615413
30,10,0,0,0,United States,0,30,4672315,4705860,4689504
31,10,0,0,0,United States,0,31,4564306,4576818,4706765
32,10,0,0,0,United States,0,32,4489353,4499748,4577160
33,10,0,0,0,United States,0,33,4448133,4452709,4498553
34,10,0,0,0,United States,0,34,4472764,4465976,4451424
35,10,0,0,0,United States,0,35,4433529,4465655,4462973
36,10,0,0,0,United States,0,36,4390428,4374809,4461285
37,10,0,0,0,United States,0,37,4452931,4442823,4369805
38,10,0,0,0,United States,0,38,4411076,4438728,4437857
39,10,0,0,0,United States,0,39,4391239,4379031,4433782
40,10,0,0,0,United States,0,40,4316754,4363128,4372750
41,10,0,0,0,United States,0,41,4157619,4186767,4356012
42,10,0,0,0,United States,0,42,4101690,4094733,4179514
43,10,0,0,0,United States,0,43,3998138,4046010,4087368
44,10,0,0,0,United States,0,44,3924015,3910135,4037480
45,10,0,0,0,United States,0,45,3945218,3955946,3900256
46,10,0,0,0,United States,0,46,3880025,3881988,3944733
47,10,0,0,0,United States,0,47,3969786,3937256,3869370
48,10,0,0,0,United States,0,48,4184257,4131216,3922554
49,10,0,0,0,United States,0,49,4426352,4381491,4114832
50,10,0,0,0,United States,0,50,4276317,4315155,4362765
51,10,0,0,0,United States,0,51,4144059,4155265,4295131
52,10,0,0,0,United States,0,52,4054659,4068300,4134276
53,10,0,0,0,United States,0,53,4107483,4085129,4045398
54,10,0,0,0,United States,0,54,4178894,4148410,4058921
55,10,0,0,0,United States,0,55,4361070,4312592,4118690
56,10,0,0,0,United States,0,56,4430226,4419098,4279600
57,10,0,0,0,United States,0,57,4426337,4423969,4382906
58,10,0,0,0,United States,0,58,4460172,4441708,4384578
59,10,0,0,0,United States,0,59,4426981,4436384,4399073
60,10,0,0,0,United States,0,60,4352406,4360816,4390969
61,10,0,0,0,United States,0,61,4283827,4279948,4312687
62,10,0,0,0,United States,0,62,4257635,4244366,4228717
63,10,0,0,0,United States,0,63,4114157,4168970,4190174
64,10,0,0,0,United States,0,64,3989246,3985661,4112822
65,10,0,0,0,United States,0,65,3881464,3893692,3928157
66,10,0,0,0,United States,0,66,3723169,3755837,3834444
67,10,0,0,0,United States,0,67,3590496,3599538,3695234
68,10,0,0,0,United States,0,68,3469974,3463771,3537207
69,10,0,0,0,United States,0,69,3234114,3296114,3399278
70,10,0,0,0,United States,0,70,3142558,3146064,3229649
71,10,0,0,0,United States,0,71,3053939,3062186,3076389
72,10,0,0,0,United States,0,72,3053046,2996493,2988058
73,10,0,0,0,United States,0,73,3032409,3153671,2917030
74,10,0,0,0,United States,0,74,2165171,2229629,3060676
75,10,0,0,0,United States,0,75,2135295,2134436,2157557
76,10,0,0,0,United States,0,76,2097610,2072831,2060045
77,10,0,0,0,United States,0,77,2053604,2087365,1992972
78,10,0,0,0,United States,0,78,1757120,1780631,1997941
79,10,0,0,0,United States,0,79,1573136,1590886,1696254
80,10,0,0,0,United States,0,80,1433747,1450143,1507612
81,10,0,0,0,United States,0,81,1346359,1340847,1366271
82,10,0,0,0,United States,0,82,1234493,1246048,1254351
83,10,0,0,0,United States,0,83,1098372,1105091,1156487
84,10,0,0,0,United States,0,84,1015241,1012871,1016585
85,10,0,0,0,United States,0,85,6045312,6020152,5975756
86,10,0,0,0,United States,0,999,330351030,330405064,330784232
261,40,3,6,1,Alabama,0,0,57105,56379,55812
262,40,3,6,1,Alabama,0,1,58230,57976,56859
263,40,3,6,1,Alabama,0,2,59860,59657,58390
264,40,3,6,1,Alabama,0,3,60473,60206,60065
265,40,3,6,1,Alabama,0,4,61493,61400,60676
266,40,3,6,1,Alabama,0,5,61522,61641,61748
267,40,3,6,1,Alabama,0,6,60680,61042,62040
