STATE,Median Household Income ,Completing college ,Completing High school ,"Follows Federal Standard, Funding Only Cases Involving Life Endangerment, Rape and Incest","Funds All or Most Medically Necessary Abortions, Exceeding Federal Requirements",Abortion strictness
Alabama,53913,26.2,30.3,Yes,No,7
Alaska,77845,30,28.4,No,Yes,3
Arizona,69056,30.3,23.8,Yes,No,6
Arkansas,52528,23.8,33.9,Yes,No,7
California,84907,34.7,20.4,No,Yes,2
Colorado,82254,41.6,21.2,Yes,No,3
Connecticut,83771,40,26.3,No,Yes,4
Delaware,71091,32.7,31,Yes,No,3
District of Columbia,90088,59.8,16.6,Yes,No,4
Florida,63062,30.5,28.2,Yes,No,5
Georgia,66559,32.2,27.5,Yes,No,2
Hawaii,84857,33.6,27.3,No,Yes,4
Idaho,66474,28.7,26.7,Yes,No,7
Illinois,72205,35.5,25.6,No,Yes,3
Indiana,62743,27.2,33.2,Yes,No,5
Iowa,65600,29.3,30.8,Yes,No,5
Kansas,64124,33.9,25.8,Yes,No,5
Kentucky,55573,25,32.6,Yes,No,7
Louisiana,52087,24.9,33.3,Yes,No,7
Maine,64767,32.5,31.3,No,Yes,3
Maryland,90203,40.9,24.2,No,Yes,3
Massachusetts,89645,44.5,23.5,No,Yes,3
Michigan,63498,30,28.5,Yes,No,4
Minnesota,77720,36.8,24.2,No,Yes,4
Mississippi,48716,22.8,30.1,Yes,No,7
Missouri,61847,29.9,30.5,Yes,No,7
Montana,63249,33.1,28.1,No,Yes,4
Nebraska,66817,32.5,25.7,Yes,No,3
Nevada,66274,25.5,27.9,Yes,No,4
New Hampshire,88465,37.6,27.3,Yes,No,4
New Jersey,89296,40.7,26.7,No,Yes,3
New Mexico,53992,28.1,26.2,No,Yes,3
New York,74314,37.5,25.5,No,Yes,3
North Carolina,61972,32,25.5,Yes,No,5
North Dakota,66519,30.7,26.1,Yes,No,5
Ohio,62262,28.9,32.8,Yes,No,5
Oklahoma,55826,26.1,31.1,Yes,No,7
Oregon,71562,34.4,22.7,No,Yes,1
Pennsylvania,68957,32.3,34.2,Yes,No,5
Rhode Island,74008,35,28,Yes,No,4
South Carolina,59318,29,28.9,Yes,No,5
South Dakota,66143,29.3,30.2,Yes,No,7
Tennessee,59695,28.2,31.8,Yes,No,7
Texas,66963,30.7,24.7,Yes,No,7
Utah,79449,34.7,22.8,Yes,No,5
Vermont,72431,39.7,28.3,No,Yes,2
Virginia,80963,39.5,23.9,Yes,No,4
Washington,84247,36.7,21.8,No,Yes,3
West Virginia,51248,21.3,40,Yes,No,7
Wisconsin,67125,30.8,30.3,Yes,No,5
Wyoming,65204,28.2,28.6,Yes,No,4
