STATE,Completing college,Completing High school 
Alabama,26.2,30.3
Alaska,30.0,28.4
Arizona,30.3,23.8
Arkansas,23.8,33.9
California,34.7,20.4
Colorado,41.6,21.2
Connecticut,40.0,26.3
Delaware,32.7,31.0
District of Columbia,59.8,16.6
Florida,30.5,28.2
Georgia,32.2,27.5
Hawaii,33.6,27.3
Idaho,28.7,26.7
Illinois,35.5,25.6
Indiana,27.2,33.2
Iowa,29.3,30.8
Kansas,33.9,25.8
Kentucky,25.0,32.6
Louisiana,24.9,33.3
Maine,32.5,31.3
Maryland,40.9,24.2
Massachusetts,44.5,23.5
Michigan,30.0,28.5
Minnesota,36.8,24.2
Mississippi,22.8,30.1
Missouri,29.9,30.5
Montana,33.1,28.1
Nebraska,32.5,25.7
Nevada,25.5,27.9
New Hampshire,37.6,27.3
New Jersey,40.7,26.7
New Mexico,28.1,26.2
New York,37.5,25.5
North Carolina,32.0,25.5
North Dakota,30.7,26.1
Ohio,28.9,32.8
Oklahoma,26.1,31.1
Oregon,34.4,22.7
Pennsylvania,32.3,34.2
Rhode Island,35.0,28.0
South Carolina,29.0,28.9
South Dakota,29.3,30.2
Tennessee,28.2,31.8
Texas,30.7,24.7
Utah,34.7,22.8
Vermont,39.7,28.3
Virginia,39.5,23.9
Washington,36.7,21.8
West Virginia,21.3,40.0
Wisconsin,30.8,30.3
Wyoming,28.2,28.6
