geoid,name,B19013001,"B19013001, Error"
04000US01,Alabama,53913,781
04000US02,Alaska,77845,2148
04000US04,Arizona,69056,686
04000US05,Arkansas,52528,1002
04000US06,California,84907,542
04000US08,Colorado,82254,791
04000US09,Connecticut,83771,1112
04000US10,Delaware,71091,1795
04000US11,District of Columbia,90088,3477
04000US12,Florida,63062,425
04000US13,Georgia,66559,712
04000US15,Hawaii,84857,2106
04000US16,Idaho,66474,1752
04000US17,Illinois,72205,574
04000US18,Indiana,62743,716
04000US19,Iowa,65600,777
04000US20,Kansas,64124,951
04000US21,Kentucky,55573,701
04000US22,Louisiana,52087,750
04000US23,Maine,64767,1258
04000US24,Maryland,90203,1065
04000US25,Massachusetts,89645,1287
04000US26,Michigan,63498,526
04000US27,Minnesota,77720,915
04000US28,Mississippi,48716,1242
04000US29,Missouri,61847,669
04000US30,Montana,63249,1423
04000US31,Nebraska,66817,1060
04000US32,Nevada,66274,1011
04000US33,New Hampshire,88465,2144
04000US34,New Jersey,89296,1088
04000US35,New Mexico,53992,1483
04000US36,New York,74314,613
04000US37,North Carolina,61972,541
04000US38,North Dakota,66519,1823
04000US39,Ohio,62262,456
04000US40,Oklahoma,55826,624
04000US41,Oregon,71562,1058
04000US42,Pennsylvania,68957,505
04000US44,Rhode Island,74008,2381
04000US45,South Carolina,59318,852
04000US46,South Dakota,66143,2258
04000US47,Tennessee,59695,788
04000US48,Texas,66963,513
04000US49,Utah,79449,1246
04000US50,Vermont,72431,2216
04000US51,Virginia,80963,731
04000US53,Washington,84247,844
04000US54,West Virginia,51248,1085
04000US55,Wisconsin,67125,605
04000US56,Wyoming,65204,2744
