Alabama,30.3%
Alaska,28.4%
Arizona,23.8%
Arkansas,33.9%
California,20.4%
Colorado,21.2%
Connecticut,26.3%
Delaware,31.0%
District of Columbia,16.6%
Florida,28.2%
Georgia,27.5%
Hawaii,27.3%
Idaho,26.7%
Illinois,25.6%
Indiana,33.2%
Iowa,30.8%
Kansas,25.8%
Kentucky,32.6%
Louisiana,33.3%
Maine,31.3%
Maryland,24.2%
Massachusetts,23.5%
Michigan,28.5%
Minnesota,24.2%
Mississippi,30.1%
Missouri,30.5%
Montana,28.1%
Nebraska,25.7%
Nevada,27.9%
New Hampshire,27.3%
New Jersey,26.7%
New Mexico,26.2%
New York,25.5%
North Carolina,25.5%
North Dakota,26.1%
Ohio,32.8%
Oklahoma,31.1%
Oregon,22.7%
Pennsylvania,34.2%
Rhode Island,28.0%
South Carolina,28.9%
South Dakota,30.2%
Tennessee,31.8%
Texas,24.7%
Utah,22.8%
Vermont,28.3%
Virginia,23.9%
Washington,21.8%
West Virginia,40.0%
Wisconsin,30.3%
Wyoming,28.6%
